horodatage,est_weekend,est_ferie,id_train,passagers_train,condition_meteo,demande_taxi,demande_bus,temps_attente_moyen,niveau_congestion,flux_direction,code_flux_direction,code_meteo
2024-01-01 08:45:00,0,1,,0,Pluvieux,345.0,639.1,40.3,10.0,neutre,1,2
2024-01-01 09:00:00,0,1,,0,Pluvieux,201.4,334.4,40.3,10.0,neutre,1,2
2024-01-01 09:15:00,0,1,,0,Pluvieux,103.1,161.9,21.7,6.4,neutre,1,2
2024-01-01 09:30:00,0,1,,0,Pluvieux,13.1,30.5,2.8,0.9,sortant,0,2
2024-01-01 09:45:00,0,1,,0,Pluvieux,11.8,27.6,2.7,0.8,sortant,0,2
2024-01-01 10:00:00,0,1,TR1003,658,Pluvieux,276.6,422.1,40.3,10.0,sortant,0,2
2024-01-01 10:15:00,0,1,,0,Pluvieux,175.5,333.6,40.3,10.0,neutre,1,2
2024-01-01 10:30:00,0,1,,0,Pluvieux,116.7,215.0,29.4,8.0,neutre,1,2
2024-01-01 10:45:00,0,1,,0,Pluvieux,67.2,108.3,12.8,4.2,neutre,1,2
2024-01-01 11:00:00,0,1,,0,Pluvieux,9.3,21.7,2.5,0.6,neutre,1,2
2024-01-01 11:15:00,0,1,,0,Pluvieux,8.4,19.6,2.4,0.6,neutre,1,2
2024-01-01 11:30:00,0,1,,0,Pluvieux,7.4,17.2,2.3,0.5,neutre,1,2
2024-01-01 11:45:00,0,1,,0,Pluvieux,8.5,19.9,2.4,0.6,neutre,1,2
2024-01-01 12:00:00,0,1,TR1004,438,Pluvieux,190.3,213.3,38.6,9.7,neutre,1,2
2024-01-01 12:15:00,0,1,,0,Pluvieux,127.6,177.5,26.2,7.3,neutre,1,2
2024-01-01 12:30:00,0,1,,0,Pluvieux,79.7,111.4,14.2,4.6,neutre,1,2
2024-01-01 12:45:00,0,1,,0,Pluvieux,40.9,55.9,6.6,2.3,neutre,1,2
2024-01-01 13:00:00,0,1,,0,Pluvieux,9.2,21.5,2.5,0.6,neutre,1,2
2024-01-01 13:15:00,0,1,,0,Pluvieux,9.4,21.8,2.5,0.6,neutre,1,2
2024-01-01 13:30:00,0,1,,0,Pluvieux,9.2,21.4,2.5,0.6,neutre,1,2
2024-01-01 13:45:00,0,1,,0,Pluvieux,8.4,19.5,2.4,0.6,neutre,1,2
2024-01-01 14:00:00,0,1,TR1005,438,Pluvieux,169.9,229.4,38.0,9.6,neutre,1,2
2024-01-01 14:15:00,0,1,,0,Pluvieux,130.2,183.2,27.1,7.5,neutre,1,2
2024-01-01 14:30:00,0,1,,0,Pluvieux,87.9,115.8,15.4,4.9,neutre,1,2
2024-01-01 14:45:00,0,1,,0,Pluvieux,43.3,62.2,7.2,2.5,neutre,1,2
2024-01-01 15:00:00,0,1,,0,Pluvieux,9.5,22.2,2.5,0.6,entrant,2,2
2024-01-01 15:15:00,0,1,,0,Pluvieux,9.0,21.0,2.5,0.6,entrant,2,2
2024-01-01 15:30:00,0,1,,0,Pluvieux,8.2,19.2,2.4,0.5,entrant,2,2
2024-01-01 15:45:00,0,1,,0,Pluvieux,8.0,18.7,2.4,0.5,entrant,2,2
2024-01-01 16:00:00,0,1,TR1006,923,Pluvieux,404.8,544.7,40.3,10.0,entrant,2,2
2024-01-01 16:15:00,0,1,,0,Pluvieux,311.6,405.9,40.3,10.0,neutre,1,2
2024-01-01 16:30:00,0,1,,0,Pluvieux,173.3,250.4,40.3,10.0,neutre,1,2
2024-01-01 16:45:00,0,1,,0,Pluvieux,97.4,123.8,17.1,5.3,neutre,1,2
2024-01-01 17:00:00,0,1,,0,Pluvieux,15.3,35.7,3.0,1.0,entrant,2,2
2024-01-01 17:15:00,0,1,,0,Pluvieux,16.3,38.0,3.1,1.1,entrant,2,2
2024-01-01 17:30:00,0,1,,0,Pluvieux,15.9,37.1,3.1,1.1,entrant,2,2
2024-01-01 17:45:00,0,1,,0,Pluvieux,15.2,35.6,3.0,1.0,entrant,2,2
2024-01-01 18:00:00,0,1,TR1007,1091,Pluvieux,449.2,600.8,40.3,10.0,entrant,2,2
2024-01-01 18:15:00,0,1,,0,Pluvieux,319.3,450.8,40.3,10.0,neutre,1,2
2024-01-01 18:30:00,0,1,TR1008,840,Pluvieux,604.3,718.8,40.3,10.0,entrant,2,2
2024-01-01 18:45:00,0,1,,0,Pluvieux,388.8,503.2,40.3,10.0,neutre,1,2
2024-01-01 19:00:00,0,1,,0,Pluvieux,183.4,231.6,40.1,10.0,neutre,1,2
2024-01-01 19:15:00,0,1,,0,Pluvieux,95.1,111.1,15.6,4.9,neutre,1,2
2024-01-01 19:30:00,0,1,,0,Pluvieux,16.0,37.2,3.1,1.1,entrant,2,2
2024-01-01 19:45:00,0,1,,0,Pluvieux,18.6,43.3,3.4,1.2,entrant,2,2
2024-01-01 20:00:00,0,1,TR1009,535,Pluvieux,222.4,297.2,40.3,10.0,entrant,2,2
2024-01-01 20:15:00,0,1,,0,Pluvieux,170.9,228.8,38.1,9.6,neutre,1,2
2024-01-01 20:30:00,0,1,,0,Pluvieux,116.9,139.9,20.8,6.2,neutre,1,2
2024-01-01 20:45:00,0,1,,0,Pluvieux,58.3,69.0,8.8,3.1,neutre,1,2
2024-01-01 21:00:00,0,1,,0,Pluvieux,9.3,21.6,2.5,0.6,neutre,1,2
2024-01-01 21:15:00,0,1,,0,Pluvieux,9.1,21.3,2.5,0.6,neutre,1,2
2024-01-01 21:30:00,0,1,,0,Pluvieux,9.5,22.1,2.5,0.6,neutre,1,2
2024-01-01 21:45:00,0,1,,0,Pluvieux,9.7,22.6,2.5,0.6,neutre,1,2
2024-01-01 22:00:00,0,1,TR1010,410,Pluvieux,167.5,205.9,34.6,9.0,neutre,1,2
2024-01-01 22:15:00,0,1,,0,Pluvieux,127.3,168.7,25.1,7.1,neutre,1,2
2024-01-01 22:30:00,0,1,,0,Pluvieux,79.3,114.9,14.5,4.7,neutre,1,2
2024-01-01 22:45:00,0,1,,0,Pluvieux,41.0,59.0,6.9,2.4,neutre,1,2
2024-01-01 23:00:00,0,1,,0,Pluvieux,6.9,1.7,2.1,0.2,neutre,1,2
2024-01-01 23:15:00,0,1,,0,Pluvieux,8.1,2.0,2.1,0.2,neutre,1,2
2024-01-01 23:30:00,0,1,,0,Pluvieux,8.8,2.2,2.1,0.2,neutre,1,2
2024-01-01 23:45:00,0,1,,0,Pluvieux,9.4,2.3,2.1,0.2,neutre,1,2
2024-01-02 00:00:00,0,0,,0,Soleil,8.0,2.0,2.1,0.2,neutre,1,0
2024-01-02 00:15:00,0,0,,0,Soleil,7.6,1.9,2.1,0.2,neutre,1,0
2024-01-02 00:30:00,0,0,,0,Soleil,8.1,2.0,2.1,0.2,neutre,1,0
2024-01-02 00:45:00,0,0,,0,Soleil,7.5,1.9,2.1,0.2,neutre,1,0
2024-01-02 01:00:00,0,0,,0,Soleil,9.3,2.3,2.1,0.2,neutre,1,0
2024-01-02 01:15:00,0,0,,0,Soleil,8.4,2.1,2.1,0.2,neutre,1,0
2024-01-02 01:30:00,0,0,,0,Soleil,8.0,2.0,2.1,0.2,neutre,1,0
2024-01-02 01:45:00,0,0,,0,Soleil,8.9,2.2,2.1,0.2,neutre,1,0
2024-01-02 02:00:00,0,0,,0,Soleil,7.1,1.8,2.1,0.2,neutre,1,0
2024-01-02 02:15:00,0,0,,0,Soleil,6.3,1.6,2.1,0.2,neutre,1,0
2024-01-02 02:30:00,0,0,,0,Soleil,8.3,2.1,2.1,0.2,neutre,1,0
2024-01-02 02:45:00,0,0,,0,Soleil,8.9,2.2,2.1,0.2,neutre,1,0
2024-01-02 03:00:00,0,0,,0,Soleil,7.9,2.0,2.1,0.2,neutre,1,0
2024-01-02 03:15:00,0,0,,0,Soleil,7.5,1.9,2.1,0.2,neutre,1,0
2024-01-02 03:30:00,0,0,,0,Soleil,7.2,1.8,2.1,0.2,neutre,1,0
2024-01-02 03:45:00,0,0,,0,Soleil,7.0,1.8,2.1,0.2,neutre,1,0
2024-01-02 04:00:00,0,0,,0,Soleil,8.5,2.1,2.1,0.2,neutre,1,0
2024-01-02 04:15:00,0,0,,0,Soleil,8.7,2.2,2.1,0.2,neutre,1,0
2024-01-02 04:30:00,0,0,,0,Soleil,8.7,2.2,2.1,0.2,neutre,1,0
2024-01-02 04:45:00,0,0,,0,Soleil,8.0,2.0,2.1,0.2,neutre,1,0
2024-01-02 05:00:00,0,0,,0,Soleil,7.1,1.8,2.1,0.2,sortant,0,0
2024-01-02 05:15:00,0,0,,0,Soleil,7.4,1.9,2.1,0.2,sortant,0,0
2024-01-02 05:30:00,0,0,,0,Soleil,8.5,2.1,2.1,0.2,sortant,0,0
2024-01-02 05:45:00,0,0,,0,Soleil,7.2,1.8,2.1,0.2,sortant,0,0
2024-01-02 06:00:00,0,0,TR1011,435,Soleil,139.1,318.7,29.7,9.2,sortant,0,0
2024-01-02 06:15:00,0,0,,0,Soleil,93.6,228.5,18.4,6.4,neutre,1,0
2024-01-02 06:30:00,0,0,,0,Soleil,65.0,165.1,11.9,4.6,neutre,1,0
2024-01-02 06:45:00,0,0,,0,Soleil,31.9,76.8,5.2,2.2,neutre,1,0
2024-01-02 07:00:00,0,0,,0,Soleil,14.8,34.6,3.0,1.0,sortant,0,0
2024-01-02 07:15:00,0,0,,0,Soleil,13.5,31.4,2.9,0.9,sortant,0,0
2024-01-02 07:30:00,0,0,,0,Soleil,14.0,32.6,2.9,0.9,sortant,0,0
2024-01-02 07:45:00,0,0,,0,Soleil,13.3,31.0,2.8,0.9,sortant,0,0
2024-01-02 08:00:00,0,0,TR1012,694,Soleil,227.4,497.1,33.6,10.0,sortant,0,0
2024-01-02 08:15:00,0,0,,0,Soleil,151.2,389.3,33.6,10.0,neutre,1,0
2024-01-02 08:30:00,0,0,TR1013,384,Soleil,219.3,508.0,33.6,10.0,sortant,0,0
2024-01-02 08:45:00,0,0,,0,Soleil,142.2,304.9,28.7,8.9,neutre,1,0
2024-01-02 09:00:00,0,0,,0,Soleil,56.6,146.0,10.2,4.1,neutre,1,0
2024-01-02 09:15:00,0,0,,0,Soleil,30.6,65.7,4.7,1.9,neutre,1,0
2024-01-02 09:30:00,0,0,,0,Soleil,15.0,35.1,3.0,1.0,sortant,0,0
2024-01-02 09:45:00,0,0,,0,Soleil,12.8,29.9,2.8,0.9,sortant,0,0
2024-01-02 10:00:00,0,0,TR1014,194,Soleil,60.9,134.4,9.7,3.9,sortant,0,0
2024-01-02 10:15:00,0,0,,0,Soleil,42.8,103.1,7.0,2.9,neutre,1,0
2024-01-02 10:30:00,0,0,,0,Soleil,29.3,73.3,4.9,2.1,neutre,1,0
2024-01-02 10:45:00,0,0,,0,Soleil,14.7,34.7,3.0,1.0,neutre,1,0
2024-01-02 11:00:00,0,0,,0,Soleil,8.3,19.4,2.4,0.6,neutre,1,0
2024-01-02 11:15:00,0,0,,0,Soleil,9.8,22.8,2.5,0.7,neutre,1,0
2024-01-02 11:30:00,0,0,,0,Soleil,9.9,23.2,2.5,0.7,neutre,1,0
2024-01-02 11:45:00,0,0,,0,Soleil,9.6,22.4,2.5,0.6,neutre,1,0
2024-01-02 12:00:00,0,0,TR1015,306,Soleil,96.2,176.2,14.7,5.4,neutre,1,0
2024-01-02 12:15:00,0,0,,0,Soleil,68.6,144.6,10.8,4.3,neutre,1,0
2024-01-02 12:30:00,0,0,,0,Soleil,47.1,89.7,6.5,2.7,neutre,1,0
2024-01-02 12:45:00,0,0,,0,Soleil,21.2,46.6,3.6,1.4,neutre,1,0
2024-01-02 13:00:00,0,0,,0,Soleil,10.3,24.0,2.6,0.7,neutre,1,0
2024-01-02 13:15:00,0,0,,0,Soleil,7.8,18.2,2.4,0.5,neutre,1,0
2024-01-02 13:30:00,0,0,,0,Soleil,8.9,20.8,2.5,0.6,neutre,1,0
2024-01-02 13:45:00,0,0,,0,Soleil,9.1,21.2,2.5,0.6,neutre,1,0
2024-01-02 14:00:00,0,0,TR1016,262,Soleil,72.4,155.5,11.7,4.6,neutre,1,0
2024-01-02 14:15:00,0,0,,0,Soleil,62.4,121.4,9.1,3.7,neutre,1,0
2024-01-02 14:30:00,0,0,,0,Soleil,35.3,79.4,5.5,2.3,neutre,1,0
2024-01-02 14:45:00,0,0,,0,Soleil,19.3,36.8,3.2,1.1,neutre,1,0
2024-01-02 15:00:00,0,0,,0,Soleil,10.8,25.1,2.6,0.7,entrant,2,0
2024-01-02 15:15:00,0,0,,0,Soleil,8.8,20.5,2.4,0.6,entrant,2,0
2024-01-02 15:30:00,0,0,,0,Soleil,9.7,22.7,2.5,0.6,entrant,2,0
2024-01-02 15:45:00,0,0,,0,Soleil,10.5,24.6,2.6,0.7,entrant,2,0
2024-01-02 16:00:00,0,0,TR1017,573,Soleil,192.3,335.3,33.6,10.0,entrant,2,0
2024-01-02 16:15:00,0,0,,0,Soleil,138.4,259.4,24.4,8.0,neutre,1,0
2024-01-02 16:30:00,0,0,,0,Soleil,91.6,172.7,14.2,5.3,neutre,1,0
2024-01-02 16:45:00,0,0,,0,Soleil,45.9,83.6,6.2,2.6,neutre,1,0
2024-01-02 17:00:00,0,0,,0,Soleil,15.2,35.5,3.0,1.0,entrant,2,0
2024-01-02 17:15:00,0,0,,0,Soleil,14.3,33.4,2.9,1.0,entrant,2,0
2024-01-02 17:30:00,0,0,,0,Soleil,14.4,33.7,2.9,1.0,entrant,2,0
2024-01-02 17:45:00,0,0,,0,Soleil,12.4,29.0,2.8,0.8,entrant,2,0
2024-01-02 18:00:00,0,0,TR1018,578,Soleil,200.2,365.8,33.6,10.0,entrant,2,0
2024-01-02 18:15:00,0,0,,0,Soleil,130.8,269.8,24.7,8.0,neutre,1,0
2024-01-02 18:30:00,0,0,TR1019,499,Soleil,271.9,473.3,33.6,10.0,entrant,2,0
2024-01-02 18:45:00,0,0,,0,Soleil,170.3,311.0,31.9,9.6,neutre,1,0
2024-01-02 19:00:00,0,0,,0,Soleil,79.0,141.1,11.2,4.4,neutre,1,0
2024-01-02 19:15:00,0,0,,0,Soleil,42.1,81.8,5.9,2.5,neutre,1,0
2024-01-02 19:30:00,0,0,,0,Soleil,14.3,33.4,2.9,1.0,entrant,2,0
2024-01-02 19:45:00,0,0,,0,Soleil,12.9,30.0,2.8,0.9,entrant,2,0
2024-01-02 20:00:00,0,0,TR1020,500,Soleil,175.3,310.6,32.3,9.7,entrant,2,0
2024-01-02 20:15:00,0,0,,0,Soleil,129.8,232.2,21.5,7.2,neutre,1,0
2024-01-02 20:30:00,0,0,,0,Soleil,84.4,156.7,12.6,4.8,neutre,1,0
2024-01-02 20:45:00,0,0,,0,Soleil,38.4,75.7,5.5,2.3,neutre,1,0
2024-01-02 21:00:00,0,0,,0,Soleil,9.7,22.6,2.5,0.6,neutre,1,0
2024-01-02 21:15:00,0,0,,0,Soleil,7.6,17.7,2.4,0.5,neutre,1,0
2024-01-02 21:30:00,0,0,,0,Soleil,9.4,21.8,2.5,0.6,neutre,1,0
2024-01-02 21:45:00,0,0,,0,Soleil,10.0,23.4,2.5,0.7,neutre,1,0
2024-01-02 22:00:00,0,0,TR1021,338,Soleil,101.0,203.6,17.0,6.1,neutre,1,0
2024-01-02 22:15:00,0,0,,0,Soleil,74.3,156.1,11.9,4.6,neutre,1,0
2024-01-02 22:30:00,0,0,,0,Soleil,48.6,98.7,7.1,2.9,neutre,1,0
2024-01-02 22:45:00,0,0,,0,Soleil,24.5,52.9,3.9,1.5,neutre,1,0
2024-01-02 23:00:00,0,0,,0,Soleil,8.6,2.1,2.1,0.2,neutre,1,0
2024-01-02 23:15:00,0,0,,0,Soleil,7.6,1.9,2.1,0.2,neutre,1,0
2024-01-02 23:30:00,0,0,,0,Soleil,8.6,2.2,2.1,0.2,neutre,1,0
2024-01-02 23:45:00,0,0,,0,Soleil,8.0,2.0,2.1,0.2,neutre,1,0
2024-01-03 00:00:00,0,0,,0,Soleil,7.6,1.9,2.1,0.2,neutre,1,0
2024-01-03 00:15:00,0,0,,0,Soleil,7.7,1.9,2.1,0.2,neutre,1,0
2024-01-03 00:30:00,0,0,,0,Soleil,8.4,2.1,2.1,0.2,neutre,1,0
2024-01-03 00:45:00,0,0,,0,Soleil,6.8,1.7,2.1,0.2,neutre,1,0
2024-01-03 01:00:00,0,0,,0,Soleil,7.6,1.9,2.1,0.2,neutre,1,0
2024-01-03 01:15:00,0,0,,0,Soleil,8.3,2.1,2.1,0.2,neutre,1,0
2024-01-03 01:30:00,0,0,,0,Soleil,7.6,1.9,2.1,0.2,neutre,1,0
2024-01-03 01:45:00,0,0,,0,Soleil,7.0,1.7,2.1,0.2,neutre,1,0
2024-01-03 02:00:00,0,0,,0,Soleil,7.3,1.8,2.1,0.2,neutre,1,0
2024-01-03 02:15:00,0,0,,0,Soleil,8.1,2.0,2.1,0.2,neutre,1,0
2024-01-03 02:30:00,0,0,,0,Soleil,8.4,2.1,2.1,0.2,neutre,1,0
2024-01-03 02:45:00,0,0,,0,Soleil,8.9,2.2,2.1,0.2,neutre,1,0
2024-01-03 03:00:00,0,0,,0,Soleil,8.6,2.2,2.1,0.2,neutre,1,0
2024-01-03 03:15:00,0,0,,0,Soleil,8.6,2.2,2.1,0.2,neutre,1,0
2024-01-03 03:30:00,0,0,,0,Soleil,6.5,1.6,2.1,0.2,neutre,1,0
2024-01-03 03:45:00,0,0,,0,Soleil,8.6,2.2,2.1,0.2,neutre,1,0
2024-01-03 04:00:00,0,0,,0,Soleil,7.6,1.9,2.1,0.2,neutre,1,0
2024-01-03 04:15:00,0,0,,0,Soleil,6.8,1.7,2.1,0.2,neutre,1,0
2024-01-03 04:30:00,0,0,,0,Soleil,8.4,2.1,2.1,0.2,neutre,1,0
2024-01-03 04:45:00,0,0,,0,Soleil,8.1,2.0,2.1,0.2,neutre,1,0
2024-01-03 05:00:00,0,0,,0,Soleil,8.7,2.2,2.1,0.2,sortant,0,0
2024-01-03 05:15:00,0,0,,0,Soleil,7.6,1.9,2.1,0.2,sortant,0,0
2024-01-03 05:30:00,0,0,,0,Soleil,8.0,2.0,2.1,0.2,sortant,0,0
2024-01-03 05:45:00,0,0,,0,Soleil,6.6,1.6,2.1,0.2,sortant,0,0
2024-01-03 06:00:00,0,0,TR1022,486,Soleil,145.7,341.9,32.5,9.8,sortant,0,0
2024-01-03 06:15:00,0,0,,0,Soleil,107.3,262.5,22.1,7.4,neutre,1,0
2024-01-03 06:30:00,0,0,,0,Soleil,78.8,164.1,12.7,4.9,neutre,1,0
2024-01-03 06:45:00,0,0,,0,Soleil,37.7,89.5,6.1,2.5,neutre,1,0
2024-01-03 07:00:00,0,0,,0,Soleil,17.9,41.9,3.3,1.2,sortant,0,0
2024-01-03 07:15:00,0,0,,0,Soleil,13.0,30.3,2.8,0.9,sortant,0,0
2024-01-03 07:30:00,0,0,,0,Soleil,13.8,32.2,2.9,0.9,sortant,0,0
2024-01-03 07:45:00,0,0,,0,Soleil,13.5,31.4,2.8,0.9,sortant,0,0
2024-01-03 08:00:00,0,0,TR1023,454,Soleil,130.2,350.9,31.8,9.6,sortant,0,0
2024-01-03 08:15:00,0,0,,0,Soleil,104.9,238.9,20.0,6.9,neutre,1,0
2024-01-03 08:30:00,0,0,TR1024,581,Soleil,227.0,601.8,33.6,10.0,sortant,0,0
2024-01-03 08:45:00,0,0,,0,Soleil,151.9,396.2,33.6,10.0,neutre,1,0
2024-01-03 09:00:00,0,0,,0,Soleil,86.3,214.4,16.7,6.0,neutre,1,0
2024-01-03 09:15:00,0,0,,0,Soleil,42.9,106.1,7.1,3.0,neutre,1,0
2024-01-03 09:30:00,0,0,,0,Soleil,15.3,35.7,3.0,1.0,sortant,0,0
2024-01-03 09:45:00,0,0,,0,Soleil,13.7,32.0,2.9,0.9,sortant,0,0
2024-01-03 10:00:00,0,0,TR1025,370,Soleil,106.9,265.7,22.3,7.5,sortant,0,0
2024-01-03 10:15:00,0,0,,0,Soleil,85.3,201.3,15.7,5.7,neutre,1,0
2024-01-03 10:30:00,0,0,,0,Soleil,56.6,127.0,9.0,3.7,neutre,1,0
2024-01-03 10:45:00,0,0,,0,Soleil,26.9,64.7,4.5,1.8,neutre,1,0
2024-01-03 11:00:00,0,0,,0,Soleil,10.0,23.3,2.5,0.7,neutre,1,0
2024-01-03 11:15:00,0,0,,0,Soleil,9.3,21.7,2.5,0.6,neutre,1,0
2024-01-03 11:30:00,0,0,,0,Soleil,7.7,17.9,2.4,0.5,neutre,1,0
2024-01-03 11:45:00,0,0,,0,Soleil,9.7,22.6,2.5,0.6,neutre,1,0
2024-01-03 12:00:00,0,0,TR1026,249,Soleil,73.7,159.5,12.1,4.7,neutre,1,0
2024-01-03 12:15:00,0,0,,0,Soleil,55.0,105.6,7.8,3.2,neutre,1,0
2024-01-03 12:30:00,0,0,,0,Soleil,38.4,79.7,5.6,2.4,neutre,1,0
2024-01-03 12:45:00,0,0,,0,Soleil,17.5,41.0,3.3,1.2,neutre,1,0
2024-01-03 13:00:00,0,0,,0,Soleil,9.8,22.9,2.5,0.7,neutre,1,0
2024-01-03 13:15:00,0,0,,0,Soleil,8.3,19.5,2.4,0.6,neutre,1,0
2024-01-03 13:30:00,0,0,,0,Soleil,8.0,18.6,2.4,0.5,neutre,1,0
2024-01-03 13:45:00,0,0,,0,Soleil,9.4,21.8,2.5,0.6,neutre,1,0
2024-01-03 14:00:00,0,0,TR1027,396,Soleil,121.3,249.9,22.2,7.4,neutre,1,0
2024-01-03 14:15:00,0,0,,0,Soleil,95.6,186.9,15.4,5.7,neutre,1,0
2024-01-03 14:30:00,0,0,,0,Soleil,59.1,126.0,9.1,3.7,neutre,1,0
2024-01-03 14:45:00,0,0,,0,Soleil,30.1,62.6,4.5,1.9,neutre,1,0
2024-01-03 15:00:00,0,0,,0,Soleil,9.6,22.4,2.5,0.6,entrant,2,0
2024-01-03 15:15:00,0,0,,0,Soleil,8.1,18.9,2.4,0.5,entrant,2,0
2024-01-03 15:30:00,0,0,,0,Soleil,9.8,22.9,2.5,0.7,entrant,2,0
2024-01-03 15:45:00,0,0,,0,Soleil,8.5,19.8,2.4,0.6,entrant,2,0
2024-01-03 16:00:00,0,0,TR1028,475,Soleil,166.2,269.5,27.7,8.7,entrant,2,0
2024-01-03 16:15:00,0,0,,0,Soleil,122.2,211.8,19.3,6.7,neutre,1,0
2024-01-03 16:30:00,0,0,,0,Soleil,78.9,143.4,11.4,4.4,neutre,1,0
2024-01-03 16:45:00,0,0,,0,Soleil,39.4,76.7,5.5,2.3,neutre,1,0
2024-01-03 17:00:00,0,0,,0,Soleil,16.8,39.1,3.2,1.1,entrant,2,0
2024-01-03 17:15:00,0,0,,0,Soleil,12.6,29.5,2.8,0.8,entrant,2,0
2024-01-03 17:30:00,0,0,,0,Soleil,13.9,32.4,2.9,0.9,entrant,2,0
2024-01-03 17:45:00,0,0,,0,Soleil,14.7,34.3,3.0,1.0,entrant,2,0
2024-01-03 18:00:00,0,0,TR1029,674,Soleil,207.2,369.6,33.6,10.0,entrant,2,0
2024-01-03 18:15:00,0,0,,0,Soleil,150.7,319.5,30.8,9.4,neutre,1,0
2024-01-03 18:30:00,0,0,TR1030,626,Soleil,322.3,576.7,33.6,10.0,entrant,2,0
2024-01-03 18:45:00,0,0,,0,Soleil,208.4,381.6,33.6,10.0,neutre,1,0
2024-01-03 19:00:00,0,0,,0,Soleil,107.0,178.8,15.7,5.7,neutre,1,0
2024-01-03 19:15:00,0,0,,0,Soleil,53.9,100.7,7.4,3.1,neutre,1,0
2024-01-03 19:30:00,0,0,,0,Soleil,13.5,31.5,2.9,0.9,entrant,2,0
2024-01-03 19:45:00,0,0,,0,Soleil,15.0,34.9,3.0,1.0,entrant,2,0
2024-01-03 20:00:00,0,0,TR1031,537,Soleil,164.6,326.7,32.8,9.8,entrant,2,0
2024-01-03 20:15:00,0,0,,0,Soleil,130.9,250.1,23.0,7.6,neutre,1,0
2024-01-03 20:30:00,0,0,,0,Soleil,83.2,174.2,13.7,5.1,neutre,1,0
